"","X","SIM92","SIF92","SIF00","SIM00","SIM02","SIF02","RG48M","RG48F","IPS55M","IPS55F","SIM31","SIM51","SIM61","SIF61","SIM71","SIM81","SIF81"
"101",100,338,1043,1770,539,787,2279,1023.45,2807.85,5408.86,11462.08,16.4,19.71,61,223,73,91,370
"102",101,196,624,1112,321,513,1482,628.26,1749.37,3775.29,8601.42,8.79,10.08,32,134,41,48,200
"103",102,108,356,668,183,311,909,373.43,1049.13,2542.22,6257.82,4.57,4.98,16,78.15,22,24,103
"104",103,57,193,384,99,178,529,214.68,604.73,1643.54,4409.94,2.3,2.38,8,44.31,11,11,50
"105",104,28,100,210,50,97,291,119.24,334.48,1016.72,3002.28,1.13,1.1,4,24.42,6,5,23
"106",105,13,49,109,24,49,150,63.91,177.2,600.06,1969.07,0.54,0,0,13.08,3,2,10
"107",106,6,22,54,11,23,73,33.01,89.75,336.88,1240.4,0,NA,NA,6.81,1,1,4
"108",107,2,10,25,5,10,33,16.41,43.36,179.38,748.11,NA,NA,NA,3.45,0,0,1
"109",108,1,4,11,2,4,14,7.84,19.94,90.33,430.5,NA,NA,NA,1.7,NA,0,1
"110",109,0,1,4,1,2,5,3.59,8.7,42.89,235.49,NA,NA,NA,0.81,NA,0,0
"111",110,0,1,2,0,1,2,1.57,3.6,19.16,121.96,NA,NA,NA,0,NA,0,0
"112",111,0,0,1,0,0,1,0,0,8.02,59.51,NA,NA,NA,NA,NA,0,0
"113",112,0,0,0,0,0,0,NA,NA,3.12,27.4,NA,NA,NA,NA,NA,0,0
"114",113,0,0,0,0,0,0,NA,NA,1.12,11.85,NA,NA,NA,NA,NA,0,0
"115",114,0,0,0,0,0,0,NA,NA,0.37,4.8,NA,NA,NA,NA,NA,0,0
"116",115,0,0,0,0,0,0,NA,NA,0.11,1.81,NA,NA,NA,NA,NA,0,0
"117",116,0,0,0,0,0,0,NA,NA,0.03,0.63,NA,NA,NA,NA,NA,0,0
"118",117,0,0,0,0,0,0,NA,NA,0.01,0.2,NA,NA,NA,NA,NA,0,0
"119",118,0,0,0,0,0,0,NA,NA,0,0.06,NA,NA,NA,NA,NA,0,0
"120",119,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
"121",120,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
