"Età  x","Sopravviventi  lx","Decessi  dx","Probabilità di morte (per mille)  qx","Anni vissuti  Lx","Probabilità prospettive di sopravvivenza  Px","Speranza di vita  ex","Note"
"0","100000","257","2.57230","99758","0.9997432","83.417","s"
"1","99743","21","0.20931","99732","0.9998231","82.630","s"
"2","99722","14","0.14446","99715","0.9998741","81.648","s"
"3","99707","11","0.10726","99702","0.9999023","80.659","s"
"4","99697","9","0.08811","99692","0.9999128","79.668","s"
"5","99688","9","0.08635","99684","0.9999136","78.675","s"
"6","99679","9","0.08638","99675","0.9999160","77.682","s"
"7","99671","8","0.08159","99667","0.9999202","76.688","s"
"8","99663","8","0.07805","99659","0.9999237","75.695","s"
"9","99655","7","0.07453","99651","0.9999263","74.700","s"
"10","99647","7","0.07286","99644","0.9999258","73.706","s"
"11","99640","8","0.07547","99636","0.9999204","72.711","s"
"12","99633","8","0.08363","99629","0.9999069","71.717","s"
"13","99624","10","0.10263","99619","0.9998873","70.723","s"
"14","99614","12","0.12271","99608","0.9998646","69.730","s"
"15","99602","15","0.14819","99595","0.9998387","68.738","s"
"16","99587","17","0.17435","99578","0.9998107","67.749","s"
"17","99570","20","0.20415","99560","0.9997828","66.760","s"
"18","99549","23","0.23019","99538","0.9997590","65.774","s"
"19","99527","25","0.25173","99514","0.9997371","64.789","s"
"20","99501","27","0.27407","99488","0.9997223","63.805","s"
"21","99474","28","0.28133","99460","0.9997178","62.822","s"
"22","99446","28","0.28306","99432","0.9997156","61.840","s"
"23","99418","28","0.28580","99404","0.9997149","60.857","s"
"24","99390","28","0.28432","99376","0.9997147","59.874","s"
"25","99361","28","0.28631","99347","0.9997071","58.891","s"
"26","99333","30","0.29953","99318","0.9996921","57.908","s"
"27","99303","31","0.31621","99287","0.9996737","56.925","s"
"28","99272","33","0.33634","99255","0.9996518","55.943","s"
"29","99238","36","0.35998","99221","0.9996335","54.962","s"
"30","99203","37","0.37309","99184","0.9996178","53.981","s"
"31","99166","39","0.39123","99146","0.9996014","53.001","s"
"32","99127","40","0.40590","99107","0.9995824","52.022","s"
"33","99087","43","0.42926","99065","0.9995556","51.043","s"
"34","99044","46","0.45962","99021","0.9995274","50.065","s"
"35","98999","48","0.48566","98975","0.9994981","49.087","s"
"36","98950","51","0.51807","98925","0.9994584","48.111","s"
"37","98899","56","0.56511","98871","0.9994065","47.136","s"
"38","98843","61","0.62183","98813","0.9993453","46.162","s"
"39","98782","68","0.68753","98748","0.9992752","45.190","s"
"40","98714","75","0.76212","98676","0.9992050","44.221","s"
"41","98639","82","0.82786","98598","0.9991245","43.255","s"
"42","98557","91","0.92321","98512","0.9990243","42.290","s"
"43","98466","101","1.02818","98415","0.9989135","41.329","s"
