"Età  x","Sopravviventi  lx","Decessi  dx","Probabilità di morte (per mille)  qx","Anni vissuti  Lx","Probabilità prospettive di sopravvivenza  Px","Speranza di vita  ex","Note"
"44","98365","113","1.14488","98309","0.9987906","40.371","s"
"45","98252","125","1.27406","98190","0.9986607","39.416","s"
"46","98127","138","1.40469","98058","0.9985331","38.466","s"
"47","97989","150","1.52910","97914","0.9984205","37.519","s"
"48","97839","159","1.62991","97760","0.9983158","36.576","s"
"49","97680","170","1.73854","97595","0.9981951","35.635","s"
"50","97510","182","1.87142","97419","0.9980524","34.696","s"
"51","97328","197","2.02388","97229","0.9978812","33.760","s"
"52","97131","215","2.21391","97023","0.9976731","32.828","s"
"53","96916","236","2.44022","96797","0.9974458","31.899","s"
"54","96679","258","2.66850","96550","0.9971927","30.976","s"
"55","96421","284","2.94644","96279","0.9969070","30.058","s"
"56","96137","311","3.23993","95981","0.9965968","29.145","s"
"57","95826","342","3.56705","95655","0.9962597","28.238","s"
"58","95484","374","3.91415","95297","0.9959075","27.338","s"
"59","95110","406","4.27162","94907","0.9955366","26.443","s"
"60","94704","441","4.65607","94483","0.9951203","25.554","s"
"61","94263","481","5.10433","94022","0.9946545","24.671","s"
"62","93782","524","5.58787","93520","0.9941241","23.795","s"
"63","93258","575","6.16546","92970","0.9935263","22.926","s"
"64","92683","629","6.78392","92368","0.9928575","22.066","s"
"65","92054","691","7.50351","91708","0.9920915","21.213","s"
"66","91363","760","8.31662","90983","0.9911980","20.369","s"
"67","90603","842","9.29147","90182","0.9902419","19.536","s"
"68","89761","918","10.22903","89302","0.9892641","18.715","s"
"69","88843","999","11.24792","88344","0.9882372","17.903","s"
"70","87844","1079","12.28349","87304","0.9870244","17.101","s"
"71","86765","1187","13.67625","86172","0.9855660","16.307","s"
"72","85578","1301","15.20224","84928","0.9838528","15.526","s"
"73","84277","1442","17.10682","83556","0.9819664","14.758","s"
"74","82836","1572","18.97642","82050","0.9798482","14.007","s"
"75","81264","1735","21.35002","80396","0.9778690","13.268","s"
"76","79529","1824","22.92910","78617","0.9758945","12.546","s"
"77","77705","1967","25.30945","76722","0.9729792","11.829","s"
"78","75739","2180","28.77668","74649","0.9690926","11.123","s"
"79","73559","2435","33.10128","72342","0.9647433","10.438","s"
"80","71124","2666","37.48584","69791","0.9593514","9.778","s"
"81","68458","3008","43.93463","66954","0.9534039","9.140","s"
"82","65450","3232","49.37988","63834","0.9475835","8.537","s"
"83","62218","3460","55.61093","60488","0.9408643","7.954","s"
"84","58758","3694","62.86797","56911","0.9337468","7.393","s"
"85","55064","3847","69.86544","53141","0.9254453","6.855","s"
"86","51217","4077","79.59628","49179","0.9145741","6.333","s"
"87","47141","4326","91.75961","44978","0.9017038","5.837","s"
"88","42815","4517","105.49311","40557","0.8874941","5.376","s"
"89","38298","4609","120.34580","35994","0.8722311","4.951","s"
"90","33689","4589","136.20764","31395","0.8553069","4.560","s"
"91","29100","4497","154.51667","26852","0.8368758","4.201","s"
"92","24604","4264","173.30485","22472","0.8185883","3.877","s"
"93","20340","3889","191.21804","18395","0.7998148","3.585","s"
"94","16451","3476","211.27249","14713","0.7802477","3.314","s"
"95","12975","2991","230.50364","11480","0.7604615","3.068","s"
"96","9984","2509","251.27977","8730","0.7396388","2.838","s"
"97","7475","2037","272.49044","6457","0.7176453","2.622","s"
"98","5438","1609","295.91362","4634","0.6935020","2.417","s"
"99","3829","1231","321.53069","3214","0.6665737","2.222","s"
"100","2598","912","350.95924","2142","0.6363284","2.039","s"
"101","1686","646","383.25795","1363","0.6047936","1.871","s"
"102","1040","431","414.57987","824","0.5734216","1.722","s"
"103","609","272","447.07386","473","0.5413508","1.588","s"
"104","337","161","479.58399","256","0.5092278","1.468","s"
"105","175","90","512.27090","130","0.4770426","1.360","s"
"106","85","47","544.86812","62","0.4450466","1.263","s"
"107","39","22","577.11235","28","0.4134820","1.176","s"
"108","16","10","608.75938","11","0.3825710","1.098","s"
"109","6","4","639.58836","4","0.3525122","1.029","s"
"110","2","2","669.40554","2","0.3234770","0.967","s"
"111","1","1","698.05238","0","0.2956035","0.911","s"
"112","0","0","725.40728","0","0.2689970","0.862","s"
"113","0","0","751.38126","0","0.2437329","0.818","s"
"114","0","0","775.91896","0","0.2198567","0.779","s"
"115","0","0","798.99521","0","0.1973871","0.744","s"
"116","0","0","820.61080","0","0.1763208","0.713","s"
"117","0","0","840.78403","0","0.1566379","0.685","s"
"118","0","0","859.55472","0","0.1383005","0.660","s"
"119","0","0","876.97038","0","0.1212634","0.638","s"
